"","Class","MAperF","MTotF","MCoreF","AreaF","IR2F","csfF","EllipF","MAperJ","MTotJ","MCoreJ","AreaJ","IR2J","csfJ","EllipJ","MAperN","MTotN","MCoreN","AreaN","IR2N","csfN","EllipN"
"40096",0,13920,13867,14428,227000,2304,860,60,16096,16106,17031,140000,2489,1300,61,15480,15434,16490,135000,2507,1380,23
"5711",0,17319,17245,18088,81000,2270,1020,12,18371,18435,18870,53000,1805,960,62,18234,18219,18864,54000,1954,1020,91
"121253",0,19362,19382,20209,35000,2148,1000,318,21023,21025,21555,12000,1480,1220,317,20463,20747,21292,14000,1364,2500,160
"94655",0,16441,16397,17221,88000,2288,1060,77,17143,17185,17864,87000,2152,1160,112,17772,17689,18413,70000,2099,1020,88
"40309",0,17739,17682,18392,69000,2117,920,224,18472,18565,18969,52000,1784,960,189,18743,18805,19263,43000,1933,960,48
"3853",0,18669,18486,19738,38000,2137,1020,227,20532,20478,20773,28000,1773,900,289,19197,19232,20253,29000,2440,2350,537
"12971",0,17661,17627,18322,60000,1986,1020,201,19113,19122,19441,40000,1525,860,135,18267,18301,18785,47000,1799,960,148
"122321",0,16016,15884,16968,93000,2573,1120,139,17318,17220,18021,67000,2439,1140,255,17034,16923,17709,112000,2478,1040,163
"91609",0,15360,15292,16215,134000,2537,1160,74,17222,17305,17841,77000,1950,1080,36,15587,15520,16531,106000,2458,1340,44
"81264",0,16341,16313,17084,103000,2258,1040,23,17304,17357,17907,76000,1958,1020,87,17631,17640,18196,68000,1926,940,92
"114639",0,18775,18764,19487,41000,1917,1060,196,20068,20105,20305,29000,1612,900,274,19642,19558,20325,27000,1684,2800,316
"30934",0,18414,18361,19067,50000,1962,940,146,18802,18856,19223,49000,1737,920,6,19409,19335,20233,29000,1786,2750,241
"34869",0,18036,17994,18716,60000,2020,1000,164,19724,19744,20047,41000,1773,880,281,18049,18021,18707,66000,2229,2850,151
"48491",0,18138,18107,18819,54000,1999,1020,174,19477,19519,19836,36000,1488,800,144,18877,18826,19446,46000,1901,1080,121
"38237",0,19392,19711,20221,26000,1735,940,105,20297,20181,20553,38000,2459,900,549,20900,20634,21140,10000,1125,1040,220
"95484",0,17801,17823,18538,66000,2194,1020,161,18389,18491,18849,53000,1736,920,121,19122,19097,19891,38000,1921,1160,94
"114986",0,17122,17059,17808,88000,2161,1000,111,17644,17770,18158,71000,1817,1020,46,18404,18377,19057,50000,1974,1040,224
"130207",0,16181,16125,17059,130000,2507,1060,38,16818,16837,17486,92000,2072,1080,147,17395,17414,18038,78000,2091,1020,55
"132614",0,19174,19125,19653,38000,1821,860,91,19725,19805,20103,28000,1513,920,73,19813,19823,20621,17000,1468,2600,144
"82955",0,16419,16386,17218,112000,2400,1040,189,18028,18045,18674,69000,2045,1040,8,16940,16933,17560,78000,1989,1040,49
"131188",0,16725,16668,17578,105000,2470,1060,30,17390,17457,17968,72000,1888,1040,111,17885,17896,18505,71000,2111,1020,37
"58282",0,18503,18524,19003,44000,1774,920,245,19370,19371,19840,40000,1773,880,226,20012,19964,20282,30000,1666,940,13
"106070",0,16422,16388,17147,109000,2285,1020,71,17181,17281,17812,84000,1977,1100,143,17690,17735,18340,70000,2055,1020,114
"4329",0,18513,18448,19285,49000,2036,1080,121,20027,20047,20483,25000,1569,900,274,18810,18704,19600,36000,1819,1040,235
"125428",0,19573,19425,19984,29000,1674,940,45,20353,20260,20885,25000,1590,1020,266,19733,19636,20530,33000,1984,2600,287
"124835",0,19399,19381,19965,26000,1752,960,43,20130,20177,20547,25000,1636,960,163,20635,20622,21143,18000,1702,1200,432
"31477",0,18172,18198,18709,52000,1864,900,100,19985,20041,20115,33000,1605,900,336,17807,17709,18406,66000,2092,1020,41
"103130",0,17685,17684,18427,59000,2129,1020,53,19132,19204,19441,36000,1493,860,107,18392,18375,18919,52000,1845,980,87
"67671",0,19049,18874,19788,43000,1982,960,264,19244,19322,19795,37000,1771,1000,133,20115,20126,20526,15000,1263,840,144
"83812",0,15831,15768,16680,124000,2419,1080,86,16834,16845,17626,105000,2239,1180,63,16912,16880,17502,80000,2052,2950,106
"15554",0,18935,18952,19616,38000,1840,960,64,20430,20485,20552,24000,1295,800,210,19745,19705,20356,31000,2017,920,242
"3265",0,18041,17991,19097,75000,2576,1020,193,18675,18814,19206,43000,1789,940,77,19053,19010,19677,53000,2278,920,76
"86518",0,16859,16839,17576,62000,2091,1020,28,17456,17471,18078,63000,2042,1100,155,18213,18168,18762,59000,1890,960,116
"61562",0,17437,17322,18119,26000,1751,1000,181,18653,18721,19155,18000,1417,940,60,18367,18342,18883,24000,1555,1000,128
"114725",0,15615,15561,16509,144000,2527,1160,22,16932,16982,17593,98000,2164,1100,54,16564,16548,17203,105000,2142,1060,66
"38010",0,17372,17287,18102,80000,2219,1020,51,18330,18393,18837,59000,1845,940,103,18318,18315,18997,51000,2007,1020,112
"86352",0,19291,19245,20175,31000,1969,1060,316,20093,20111,20674,25000,1603,920,213,21156,20677,21406,12000,1388,1240,258
"1374",0,17367,17300,18225,86000,2414,1020,87,18045,18099,18533,60000,1712,940,93,18532,18480,19103,53000,1998,1000,302
"56392",0,19217,19281,19721,36000,1795,960,122,20184,20242,20593,26000,1556,920,96,18902,18875,19504,44000,1999,1100,153
"113914",0,19142,19214,19775,44000,1902,960,147,19305,19357,19560,42000,1562,860,293,21120,20941,20871,17000,1261,740,232
"77669",0,18062,18038,18636,53000,1941,960,142,19010,19017,19570,40000,1779,900,42,19018,18940,19741,41000,1931,2800,254
"107204",0,19100,19070,19705,34000,1804,980,54,20151,20189,20540,24000,1516,920,177,19769,19985,20312,35000,1754,1000,17
"99668",0,18874,19029,19375,44000,1785,920,116,20062,20066,20716,33000,1995,920,277,18764,18681,19382,47000,1897,1020,156
"118973",0,16115,16087,16898,117000,2312,1060,56,17342,17366,17978,60000,1985,1080,125,17308,17308,17926,83000,2052,960,54
"113798",0,18050,17948,18780,59000,2152,1020,145,19484,19578,19528,35000,1273,780,224,19488,19435,19944,35000,1639,940,107
"18303",0,20266,20022,20838,18000,1535,900,182,21757,21216,21642,17000,1544,900,225,20074,20373,21138,14000,1723,2350,421
"124613",0,18253,18250,18921,55000,1972,940,131,19894,19870,20230,43000,2300,860,479,18354,18311,18983,56000,2089,1040,68
"11213",0,17202,17122,18120,112000,2721,1020,180,17601,17716,18219,77000,2089,1020,162,18116,17864,18804,79000,3265,2850,545
"38719",0,19036,19028,19671,38000,1885,1040,77,20525,20623,20925,19000,1243,780,79,18820,18647,19622,42000,2141,2800,32
"67966",0,19513,19375,20260,34000,2424,1000,342,20720,20800,21093,18000,1258,800,429,20203,19998,20525,17000,1606,880,438
"26132",0,18113,18108,18784,52000,1922,1000,127,19338,19338,19965,39000,1771,1020,76,17990,17953,18544,61000,1996,960,191
"111800",0,18366,18309,19117,55000,2158,1020,88,19472,19474,20045,30000,1679,940,100,19654,19806,19902,31000,1538,860,275
"51140",0,18768,18572,19438,51000,2397,960,272,19561,19639,20256,36000,1938,1140,353,19611,19412,20354,32000,1918,1120,332
"16331",0,19307,19316,19865,35000,1725,940,109,21011,20586,20764,19000,1434,880,188,19461,19379,20203,35000,1951,1120,387
"76606",0,16174,16160,16941,116000,2318,1120,5,17738,17813,18219,62000,1754,980,48,16893,16864,17519,81000,2056,1040,111
"93038",0,18206,18200,18781,51000,1887,940,146,19599,19650,20189,30000,1682,860,230,18381,18303,18914,61000,1860,960,170
"42532",0,16341,16291,17154,104000,2308,1120,59,17352,17332,17988,84000,2019,1080,75,17397,17294,18067,74000,2078,1020,117
"130749",0,18468,18336,19219,66000,2552,1000,182,19722,19760,20239,30000,1762,1000,170,18976,18971,19525,41000,1931,1000,95
"24693",0,16838,16814,17498,81000,2146,1000,5,17712,17750,18236,49000,1812,1000,67,17888,17904,18502,52000,1890,1020,63
"6052",0,18014,17979,18815,61000,2208,1040,153,18318,18335,18798,55000,1772,920,66,19621,19844,19941,34000,1801,940,113
"59978",0,19205,19170,19942,37000,1903,980,147,20826,20627,20966,19000,1344,880,246,19443,19407,20298,25000,1710,2800,363
"122645",0,18307,18305,19069,60000,2157,1020,91,19224,19291,19593,40000,1610,900,234,19510,19555,20038,32000,1736,1000,260
"58449",0,18527,18562,19029,31000,1678,880,77,20028,20197,20123,36000,1496,820,177,19401,19419,19876,33000,1598,940,151
"90945",0,15715,15680,16579,77000,2294,1180,25,17330,17373,17948,53000,1904,1120,86,16419,16400,17123,73000,2110,1160,25
"117017",0,18869,18842,19473,44000,1777,920,198,19596,19716,19942,34000,1654,920,110,20199,20107,20840,26000,1804,1100,284
"73359",0,19400,19468,19947,33000,1903,960,83,20244,20197,20790,25000,1743,1060,273,20422,20317,20762,22000,1552,880,158
"94473",0,20903,20423,21090,12000,1311,960,153,21238,21048,21367,15000,1378,840,257,20432,20483,21435,12000,2135,2600,609
"105397",0,19571,19454,20059,38000,2403,900,479,21195,20927,21180,18000,1469,740,432,20359,20265,21067,19000,1865,2500,366
"18538",0,18392,18427,19088,45000,2026,1020,222,18490,18599,18911,51000,1692,900,174,19453,19584,20283,34000,2036,2600,170
"104358",0,20565,20390,20547,20000,1380,740,34,21642,21059,21398,12000,1539,920,488,20224,20220,20825,21000,1492,780,404
"16995",0,18187,18275,18843,60000,2057,960,134,18371,18521,18779,51000,1574,920,53,19042,19022,19953,33000,1849,2600,76
"92627",0,17808,17803,18462,62000,2013,1020,69,19261,19219,19804,43000,1928,980,167,18169,18138,18780,58000,2010,1020,108
"85290",0,18674,18593,19365,44000,2058,1020,149,20225,20204,20425,26000,1522,840,52,19792,19893,19918,28000,1517,920,185
"64747",0,17664,17647,18290,61000,1988,1020,18,18204,18317,18676,54000,1715,980,42,19002,18998,19650,41000,1944,1120,99
"81586",0,15222,15152,16254,169000,2696,1280,61,16280,16280,17126,135000,2466,1240,16,16375,16350,17058,105000,2216,2900,20
"11523",0,17805,17728,18771,82000,2559,1060,186,18010,18147,18568,58000,1862,980,116,19095,19032,19868,49000,2536,2650,285
"83677",0,17636,17509,18400,70000,2363,1020,240,18816,18907,19259,49000,1712,900,101,18660,18516,19412,51000,2306,1100,252
"104317",0,16977,16874,17675,88000,2337,1020,97,18481,18429,18990,54000,1833,960,177,17607,17556,18189,67000,1963,1020,132
"62268",0,17462,17437,18182,75000,2215,1060,168,18414,18490,18940,30000,1643,920,126,18743,18711,19316,47000,1933,1020,152
"48949",0,18127,18099,18786,57000,2015,960,120,19440,19508,19909,35000,1637,920,204,18779,18652,19481,52000,2442,2750,346
"97398",0,19435,19425,20019,26000,1648,840,182,20981,20841,21114,15000,1351,860,52,19987,20122,20815,15000,1544,1120,297
"113168",0,17839,17751,18546,68000,2245,1020,181,17691,17767,18193,69000,1887,980,40,19612,19712,20175,27000,1567,920,198
"93127",0,18215,18213,18900,48000,1951,1020,122,19895,19972,20166,31000,1477,920,227,18638,18509,19354,58000,2312,2800,198
"116672",0,18740,18784,19330,44000,1886,940,180,20622,20706,20495,23000,1329,740,59,19845,19563,20381,33000,2101,920,448
"73490",0,15856,15787,16631,136000,2417,1080,44,16793,16817,17574,98000,2214,1220,30,16945,16916,17541,82000,2056,1020,82
"86544",0,17041,17015,17780,85000,2272,1040,136,17865,17859,18393,68000,1912,1020,174,18335,18298,18855,56000,1855,960,196
"35751",0,19078,18806,19770,57000,2787,1020,455,19273,19362,19879,34000,1805,1100,124,19956,19987,20847,23000,2065,2750,466
"91003",0,15831,15778,16587,119000,2320,1020,46,17064,17161,17689,86000,1981,1100,22,17003,17003,17571,79000,1950,1020,34
"29312",0,17912,17878,18571,57000,2004,1020,101,19103,19067,19536,40000,1927,920,225,18715,18649,19253,44000,1764,940,37
"108940",0,16136,16070,16938,122000,2397,1080,75,17693,17797,18265,69000,1865,1020,118,16863,16819,17527,95000,2193,1020,48
"82657",0,18408,18390,19154,55000,2104,1060,104,18766,18776,19276,50000,1785,940,215,20097,20008,20235,20000,1486,840,291
"58897",0,17096,17195,17702,73000,1929,960,141,17805,17867,18360,59000,1863,1060,133,18419,18416,18868,45000,1778,940,203
"36541",0,19169,19078,20000,42000,2207,1020,295,20719,20833,20898,23000,1559,1020,188,20052,20175,20982,16000,1472,1240,131
"121534",0,17940,17881,18709,71000,2236,1020,221,18749,18823,19197,50000,1743,940,135,18888,18793,19635,44000,2037,1020,119
"37694",0,16030,15995,16855,118000,2328,1120,43,16627,16733,17380,101000,2140,1140,34,17106,17070,17737,82000,2083,1020,87
"119928",0,16327,16287,17092,113000,2341,1020,109,17687,17776,18253,68000,1867,980,20,17351,17338,18001,90000,2201,960,175
"37897",0,17347,17360,18017,76000,2020,980,64,18781,18915,19192,48000,1665,920,37,17774,17793,18420,62000,2043,1020,83
"70710",0,19125,19155,19622,38000,1881,940,186,20970,20877,21174,19000,1295,780,193,19295,19287,19848,31000,1704,980,105
"66200",0,16115,16118,16891,114000,2244,1080,13,16969,17033,17667,57000,1970,1160,84,17437,17427,18065,77000,2083,1020,108
"121665",0,18535,18527,19266,52000,2073,1020,147,18746,18744,19334,49000,1901,940,50,19682,19697,20146,32000,1611,920,160
"26694",0,15758,15694,16649,103000,2468,1180,28,17381,17365,18031,75000,1976,1060,42,16471,16458,17133,95000,2074,1100,53
"117754",0,16597,16537,17304,101000,2306,1020,40,17738,17809,18252,63000,1781,1020,42,17796,17714,18434,64000,2033,1020,109
"53876",0,18300,18336,19013,63000,2208,1020,211,18999,18954,19523,48000,1818,920,51,19005,18850,19899,39000,2038,1200,180
"17917",0,19290,19254,20104,28000,1719,980,34,20796,20857,21252,23000,1795,1040,237,19437,19470,20338,30000,1976,2500,149
"87158",0,20303,20086,20473,24000,1531,820,204,20258,20692,20994,16000,1326,820,71,20249,20559,21277,12000,1249,2600,366
"64334",0,18453,18414,19193,49000,2007,1100,86,18903,18934,19312,43000,1662,880,206,20543,20106,20788,33000,2728,900,669
"3541",0,19311,19336,20226,49000,2282,900,82,19105,19215,19658,41000,1789,1020,164,20333,20188,20743,10000,1224,900,398
"66346",0,17665,17620,18327,49000,2035,1020,178,19022,19062,19439,43000,1745,900,127,17961,17961,18585,40000,1842,960,136
"24661",0,19319,19256,19972,30000,1761,900,194,20839,20660,21126,19000,1563,900,293,19513,19517,20320,23000,1459,940,75
"115912",0,16247,16141,17069,42000,1999,1140,140,17177,17141,17878,32000,1772,1140,48,17296,17213,17946,30000,1731,1060,159
"57123",0,17167,17168,17799,74000,1993,1020,72,18759,18802,19101,44000,1485,880,198,17415,17354,18035,75000,2065,1040,161
"122050",0,16904,16829,17702,107000,2491,1020,69,17688,17673,18265,72000,1996,1020,37,18199,18207,18780,60000,2012,1020,136
"113831",0,18868,18929,19503,47000,1889,1000,76,20239,20237,20513,32000,1761,860,214,19931,19787,20056,28000,1502,740,165
"21523",0,17290,17249,18024,80000,2165,1000,56,18220,18355,18696,56000,1712,940,41,18213,18049,18997,75000,2614,2750,352
"72872",0,18285,18279,19015,53000,2037,1060,219,19714,19631,20076,42000,2535,840,596,18475,18310,19150,56000,2258,1020,239
"77167",0,18916,19011,19519,41000,1969,960,123,18865,18898,19412,56000,1983,980,325,20282,19848,20753,24000,1792,960,328
"48378",0,16971,16930,17701,50000,2015,1040,37,18380,18421,18897,58000,1845,960,129,17709,17704,18316,39000,1843,1040,101
"61896",0,16830,16781,17489,89000,2135,1020,69,18416,18470,18828,45000,1623,920,112,17125,17088,17699,62000,2076,1020,125
"17918",0,20412,20354,20729,18000,1466,760,257,19544,19529,19955,39000,1753,860,284,21872,20729,21211,13000,1654,740,489
"87899",0,17816,17861,18466,59000,1977,960,90,18985,19009,19276,39000,1517,840,42,18895,18941,19353,39000,1709,920,55
"17487",0,16902,16851,17693,101000,2355,1040,93,17459,17579,18039,72000,1873,1040,48,18061,17987,18674,55000,1938,1020,72
"3004",0,16480,16347,17460,154000,2905,1020,148,17594,17681,18289,77000,2117,1080,105,16620,16591,17348,95000,2218,1080,131
"83216",0,14831,14778,15382,181000,2248,700,59,17133,17128,17881,95000,2269,1140,96,15873,15826,16763,130000,2431,1300,83
"29446",0,16419,16368,17186,121000,2433,1060,158,17302,17375,17984,91000,2131,1140,104,17555,17413,18173,67000,2033,2950,76
"79357",0,16630,16579,17322,95000,2118,1020,49,18141,18122,18627,65000,1955,940,24,16993,16968,17603,85000,2016,1040,125
"72425",0,17692,17595,18379,71000,2283,1020,182,19119,19122,19552,54000,1953,940,335,18296,18214,18945,51000,2010,1020,192
"63117",0,17965,17821,18673,72000,2252,1040,112,19850,19946,19930,30000,1447,860,104,18352,18355,18952,51000,1920,2950,180
"40559",0,15872,15815,16717,133000,2442,1140,100,16989,17011,17707,94000,2156,1140,49,16815,16786,17430,83000,1997,1040,90
"55504",0,17189,17125,17891,90000,2528,1020,186,18847,18834,19294,48000,1688,900,120,17545,17555,18132,70000,1964,1020,59
"53067",0,19453,19528,20214,36000,2193,880,355,21040,20941,21219,19000,1548,800,410,20994,20859,21300,7000,1145,1100,174
"128484",0,16903,16851,17655,88000,2251,1020,60,17625,17659,18222,67000,1914,1040,140,18354,18368,18985,54000,1936,1040,130
"126842",0,17977,17972,18729,64000,2179,1020,30,19309,19278,19887,43000,1923,920,237,17956,17829,18617,74000,2237,1040,115
"126087",0,18603,18600,19263,44000,1938,980,65,18916,18953,19373,34000,1736,940,227,19889,19883,20644,21000,1777,1200,343
"46610",0,19433,19504,20070,24000,1695,920,214,19981,19979,20236,36000,1576,760,142,21010,20608,21207,12000,1275,960,278
"51462",0,18269,18217,18959,54000,2050,1000,194,18422,18461,18915,54000,1811,940,101,19646,19702,20290,31000,1722,1080,110
"12722",0,15574,15549,16472,149000,2478,1160,62,17271,17309,17958,82000,2084,1080,89,15885,15810,16704,127000,2425,1160,48
"58774",0,19290,19309,19710,36000,1806,920,204,20265,20309,20753,19000,1514,900,103,19460,19393,19810,33000,1629,920,252
"19346",0,16619,16548,17368,101000,2330,1020,76,17779,17888,18342,61000,1826,1000,87,17521,17521,18135,70000,2000,1020,25
"93687",0,18719,18651,19409,45000,1956,1020,194,19383,19636,19622,43000,1632,820,306,19795,19765,20650,25000,1718,1220,174
"7369",0,18853,19053,19653,29000,1846,940,73,19917,20028,20401,26000,1474,840,172,19551,19539,20388,33000,1927,2500,252
"121947",0,17255,17175,18034,92000,2344,1020,40,18140,18142,18666,61000,1821,980,40,18602,18602,19124,47000,1838,960,90
"57354",0,16435,16372,17153,97000,2241,1040,82,17833,17876,18386,61000,1889,1020,59,17340,17275,17945,72000,2003,1020,154
"83026",0,19878,19949,20511,24000,1756,940,242,21219,21173,21529,11000,1268,940,263,20338,20659,20722,8000,1008,780,89
"35743",0,15077,15017,15931,163000,2538,1120,49,16562,16628,17340,116000,2279,1200,59,16023,15995,16799,108000,2212,1160,52
"108693",0,16432,16400,17180,99000,2317,1040,46,17888,17929,18423,64000,1815,1000,149,17548,17566,18171,68000,2007,1020,78
"89050",0,19291,19290,19688,38000,1725,920,185,21186,21054,21045,18000,1403,780,86,20015,19978,20433,22000,1591,880,259
"37914",0,16374,16313,17139,116000,2392,1060,87,17155,17233,17816,95000,2066,1080,85,17482,17321,18137,82000,2539,1020,276
"14256",0,18207,18220,18966,48000,2188,1020,228,18566,18572,19057,48000,1777,940,190,19365,19376,19995,30000,1772,1120,289
"113778",0,17209,17169,17907,84000,2222,1020,144,18054,18075,18589,57000,1868,1000,88,18427,18416,18938,52000,1831,920,258
"1016",0,15670,15550,16646,181000,2948,1080,33,16999,17042,17684,93000,2056,1100,73,16020,15972,16849,120000,2368,1180,14
"6081",0,17264,17204,18042,89000,2337,1020,47,18132,18186,18607,63000,1881,920,183,18326,18286,18862,49000,1840,960,215
"87392",0,16496,16430,17238,75000,2256,1060,139,17345,17354,17954,65000,2040,1080,92,17732,17705,18284,40000,1783,960,137
"83292",0,16296,16243,17073,108000,2341,1060,30,17666,17723,18233,68000,1861,1000,65,17126,17107,17745,70000,2051,2850,140
"1317",0,18920,18816,19907,47000,2278,1080,88,20553,20501,20930,19000,1586,860,311,19136,19089,19910,33000,1917,2900,225
"19660",0,19084,19080,19760,38000,1947,1000,279,20772,20833,20544,23000,1215,720,301,20068,19948,20588,25000,1677,1120,152
"79725",0,15510,15461,16364,135000,2439,1160,39,16434,16474,17129,110000,2184,1140,41,16593,16541,17239,113000,2262,1040,121
"101559",0,17696,17701,18352,66000,2010,960,130,18465,18544,18934,52000,1737,940,103,18696,18605,19420,40000,1890,2750,112
"210",0,18438,18418,19255,60000,2246,1020,70,20012,19886,20296,30000,1835,760,463,18728,18662,19388,41000,1952,1020,287
"27794",0,17572,17562,18197,67000,1990,1020,56,19098,19077,19532,51000,2143,920,252,17811,17807,18445,57000,2022,2900,26
"122217",0,17984,17979,18689,65000,2132,920,175,19040,19007,19448,44000,1634,860,57,18914,18846,19534,44000,2133,2900,262
"28842",0,15753,15669,16593,69000,2248,1160,145,16825,16846,17636,74000,2250,1240,110,16823,16819,17442,82000,1988,2950,83
"28847",0,18217,18175,18771,56000,2100,900,231,18798,18806,19324,43000,1793,1000,214,19574,19593,20154,29000,1628,920,311
"57699",0,16445,16379,17226,100000,2330,1120,66,17298,17348,17931,83000,1990,1100,37,17614,17643,18181,71000,1990,960,120
"74004",0,19111,19029,19631,42000,1946,940,146,20224,20441,20925,20000,1577,960,280,19284,19342,19824,34000,1664,900,91
"82292",0,17025,17028,17725,93000,2247,1020,127,17691,17740,18229,70000,1933,960,156,18055,18074,18574,57000,1960,940,187
"106186",0,15689,15629,16546,137000,2459,1160,34,16603,16645,17359,109000,2190,1180,39,16872,16855,17542,92000,2086,1040,122
"12402",0,17318,17227,18052,76000,2200,1040,128,18201,18211,18682,60000,1833,920,179,18510,18528,19072,46000,1816,940,204
"35075",0,15682,15629,16581,144000,2557,1140,119,17153,17241,17812,82000,2013,1120,38,16416,16394,17055,118000,2179,1060,60
"26798",0,14170,14096,14831,260000,2606,1040,97,15771,15719,16753,202000,2873,1400,26,15605,15524,16574,153000,2644,1340,57
"107916",0,18725,18701,19484,48000,2043,1060,207,20194,20217,20565,25000,1548,940,132,19670,19622,20424,39000,2268,1200,382
"89201",0,17510,17523,18174,70000,2015,1000,98,18921,18980,19359,45000,1655,920,46,18281,18068,18937,63000,2481,2850,411
"70647",0,15415,15364,16280,129000,2488,1140,65,17108,17163,17823,89000,2135,1140,121,16355,16277,17040,119000,2367,1100,197
"29468",0,16533,16442,17241,110000,2325,1020,99,18249,18334,18680,56000,1735,920,54,16668,16654,17354,99000,2182,2800,176
"14470",0,16320,16281,17029,113000,2253,1020,58,17210,17261,17901,83000,2061,1100,117,17428,17427,18076,82000,2189,2900,149
"14666",0,17387,17351,18063,78000,2237,1000,207,18071,18023,18642,64000,2129,960,198,18614,18552,19108,42000,1809,920,137
"98663",0,18505,18519,19130,52000,1850,1000,122,19912,19958,20310,32000,1592,940,204,18260,18189,18853,50000,1908,2950,83
"59898",0,18910,18888,19506,36000,1692,960,200,18698,18716,19110,47000,1663,880,174,20680,20700,21088,11000,1286,1060,197
"90467",0,16327,16273,17079,106000,2279,1080,36,17511,17537,18086,71000,1869,1080,112,17404,17386,17989,71000,1964,2950,50
"20071",0,16520,16435,17385,128000,2672,1080,126,17282,17393,17930,93000,2190,1080,226,17310,17278,17904,39000,1801,980,115
"14978",0,15506,15443,16436,158000,2612,1200,80,16545,16584,17404,107000,2310,1260,51,16407,16355,17080,104000,2202,1080,78
"14246",0,18741,18742,19255,39000,1812,940,107,19959,20012,20497,29000,1729,960,362,19396,19330,20140,33000,1888,1100,109
"10476",0,17217,17150,18094,97000,2508,1020,100,17511,17642,18105,75000,1957,1020,76,18252,18150,18883,56000,2048,1040,204
"100275",0,18393,18382,19105,26000,1738,980,45,19673,19707,20086,29000,1682,920,298,19175,18958,19724,53000,2871,1000,577
"113348",0,17610,17612,18348,69000,2167,1040,98,19221,19367,19545,41000,1659,940,255,17641,17674,18185,67000,1953,960,149
"60350",0,16592,16569,17265,108000,2253,1020,72,17701,17761,18242,66000,1859,1020,95,17654,17626,18226,67000,1946,1040,74
"41434",0,16656,16600,17403,96000,2220,1040,43,18062,18085,18512,57000,1715,920,99,17577,17538,18192,69000,2042,1020,43
"96190",0,16593,16541,17333,106000,2290,1020,67,18249,18272,18817,56000,1892,1000,137,16997,16958,17538,71000,1933,1000,56
"4804",0,15754,15695,16645,140000,2463,1120,65,16826,16848,17655,103000,2240,1200,90,16546,16520,17233,89000,2113,1060,51
"3273",0,17487,17398,18547,110000,2831,1020,132,18548,18747,18999,53000,1686,900,112,17803,17729,18439,60000,1953,1020,121
"110348",0,15801,15736,16692,141000,2592,1100,98,17079,17044,17858,108000,2340,1140,104,16799,16789,17423,85000,2069,1020,110
"65968",0,15905,15817,16753,80000,2457,1160,172,16765,16788,17511,103000,2295,1160,137,17056,17014,17678,96000,2272,1020,254
"84663",0,16145,16129,16931,106000,2272,1060,72,17504,17506,18167,80000,2067,1060,53,17160,17169,17732,79000,2092,1020,266
"42389",0,17307,17265,17993,75000,2181,1020,70,18271,18334,18791,51000,1790,940,122,18562,18515,19042,44000,1734,940,144
"104157",0,17991,17947,18676,57000,1994,1000,126,18048,18059,18514,56000,1793,960,124,19388,19372,20116,29000,1843,1040,293
"117917",0,18009,18023,18622,49000,1921,920,108,18740,18720,19134,53000,1721,860,118,19844,19945,20040,34000,1670,940,193
"117586",0,17587,17586,18243,70000,2080,960,129,18073,18120,18636,52000,1878,1020,101,18812,18794,19519,43000,1912,2800,93
"135157",0,19001,18963,19605,27000,1743,940,112,19360,19513,19871,25000,1589,900,75,20234,20280,20744,16000,1420,1000,215
"3642",0,18039,17608,19178,118000,4090,1060,517,18169,18143,18737,87000,2630,1000,455,19103,19330,20152,16000,1667,2450,141
"76962",0,19356,19339,19977,35000,1797,960,84,20024,20058,20472,25000,1447,900,187,20999,21057,21356,7000,1151,960,283
"17946",0,18533,18592,19222,48000,1939,980,226,19756,19879,20145,31000,1532,860,173,19209,19227,19690,39000,1775,980,190
"6180",0,17438,17367,18183,77000,2246,1020,41,18972,19072,19350,43000,1600,860,31,17635,17713,18142,65000,1834,940,163
"90558",0,17290,17303,17945,70000,2045,1000,47,18704,18814,19165,49000,1709,980,23,17779,17732,18415,65000,2067,1020,49
"131870",0,19675,19649,20300,28000,1718,900,32,20171,20229,20742,24000,1528,860,218,20860,20514,21009,14000,1455,1040,226
"60507",0,18702,18614,19395,42000,1903,940,155,19010,19042,19494,44000,1717,920,104,20079,20079,21092,20000,1693,1560,140
"115871",0,18519,18484,19118,35000,1867,1020,165,19766,19863,20116,32000,1615,800,242,19256,19208,19950,29000,1762,2750,274
"5225",0,15670,15615,16563,120000,2489,1140,66,16773,16801,17575,99000,2294,1200,122,16476,16448,17148,100000,2186,1060,103
"115990",0,17086,17106,17740,74000,2036,1020,12,17945,18013,18422,61000,1706,980,38,18336,18307,18879,50000,1852,920,128
"121076",0,18404,18348,19138,58000,2249,1020,169,18808,18770,19254,54000,1923,900,272,19978,19975,20287,24000,1490,920,25
"117084",0,18875,18888,19361,43000,1815,880,219,20312,20257,20611,28000,1501,860,348,19507,19446,19826,33000,1570,920,211
"78963",0,16198,16152,17007,89000,2312,1120,43,17375,17491,17953,74000,1840,1040,26,17235,17179,17868,85000,2192,1040,105
"117778",0,15282,15231,16143,112000,2425,1140,29,17167,17236,17865,81000,2055,1120,105,15782,15711,16670,176000,2667,1240,146
"69357",0,16437,16408,17197,87000,2245,1060,35,17318,17336,17973,91000,2083,1080,53,17593,17540,18204,69000,2022,1040,65
"85834",0,19778,19778,20415,25000,1636,940,185,20632,20871,21314,10000,1164,1060,103,20901,20470,20657,19000,1425,740,153
"3792",0,18930,19041,19848,51000,2200,1020,135,18693,18769,19211,46000,1773,920,63,19653,19607,20625,25000,1950,2400,213
